CTYNAME,MEDIAN_AGE_TOT
Autauga,39.2
Baldwin,44.1
Barbour,41.5
Bibb,40.9
Blount,41.2
Bullock,39.8
Butler,42.2
Calhoun,39.3
Chambers,43.3
Cherokee,47.9
Chilton,39.7
Choctaw,47.0
Clarke,42.6
Clay,44.3
Cleburne,41.9
Coffee,39.3
Colbert,42.3
Conecuh,46.2
Coosa,50.6
Covington,43.2
Crenshaw,41.2
Cullman,41.0
Dale,38.0
Dallas,41.3
DeKalb,40.1
Elmore,39.5
Escambia,40.1
Etowah,42.0
Fayette,43.3
Franklin,39.2
Geneva,42.9
Greene,43.9
Hale,40.1
Henry,45.0
Houston,40.3
Jackson,43.7
Jefferson,37.9
Lamar,44.3
Lauderdale,40.3
Lawrence,42.4
Lee,33.8
Limestone,40.3
Lowndes,42.3
Macon,38.3
Madison,38.5
Marengo,42.1
Marion,43.7
Marshall,38.4
Mobile,38.3
Monroe,43.9
Montgomery,36.9
Morgan,40.7
Perry,40.8
Pickens,41.8
Pike,31.5
Randolph,43.8
Russell,37.3
St. Clair,40.9
Shelby,40.4
Sumter,34.6
Talladega,42.1
Tallapoosa,46.3
Tuscaloosa,32.9
Walker,41.8
Washington,43.4
Wilcox,42.4
Winston,45.4
Aleutians East Borough,44.4
Aleutians West Census Area,42.1
Anchorage Municipality,35.1
Bethel Census Area,27.7
Bristol Bay Borough,39.0
Chugach Census Area,39.5
Copper River Census Area,41.0
Denali Borough,40.6
Dillingham Census Area,31.4
Fairbanks North Star Borough,32.8
Haines Borough,48.9
Hoonah-Angoon Census Area,51.4
Juneau City and Borough,39.8
Kenai Peninsula Borough,41.2
Ketchikan Gateway Borough,40.6
Kodiak Island Borough,35.8
Kusilvak Census Area,23.3
Lake and Peninsula Borough,35.2
Matanuska-Susitna Borough,36.6
Nome Census Area,29.1
North Slope Borough,35.6
Northwest Arctic Borough,27.8
Petersburg Borough,42.9
Prince of Wales-Hyder Census Area,43.7
Sitka City and Borough,40.6
Skagway Municipality,43.5
Southeast Fairbanks Census Area,37.5
Wrangell City and Borough,50.2
Yakutat City and Borough,44.0
Yukon-Koyukuk Census Area,36.8
Apache,36.3
Cochise,42.3
Coconino,32.7
Gila,51.2
Graham,34.1
Greenlee,35.4
La Paz,58.5
Maricopa,37.5
Mohave,53.3
Navajo,39.1
Pima,39.5
Pinal,40.1
Santa Cruz,37.7
Yavapai,55.1
Yuma,35.8
Arkansas,42.5
Ashley,43.8
Baxter,51.5
Benton,36.0
Boone,41.9
Bradley,40.7
Calhoun,45.4
Carroll,44.4
Chicot,43.5
Clark,32.1
Clay,43.1
Cleburne,49.5
Cleveland,44.0
Columbia,35.2
Conway,42.2
Craighead,34.6
Crawford,39.6
Crittenden,35.9
Cross,40.9
Dallas,46.6
Desha,40.4
Drew,37.7
Faulkner,34.0
Franklin,42.2
Fulton,47.1
Garland,45.8
Grant,41.6
Greene,38.4
Hempstead,40.0
Hot Spring,42.7
Howard,39.0
Independence,39.4
Izard,47.2
Jackson,39.7
Jefferson,39.7
Johnson,38.7
Lafayette,47.8
Lawrence,40.2
Lee,40.8
Lincoln,38.8
Little River,43.3
Logan,44.3
Lonoke,37.5
Madison,41.0
Marion,51.7
Miller,39.0
Mississippi,36.9
Monroe,45.4
Montgomery,51.1
Nevada,43.4
Newton,48.9
Ouachita,42.8
Perry,44.4
Phillips,40.8
Pike,43.2
Poinsett,39.7
Polk,44.4
Pope,36.9
Prairie,45.8
Pulaski,37.9
Randolph,39.3
St. Francis,39.3
Saline,40.4
Scott,42.8
Searcy,48.5
Sebastian,38.0
Sevier,35.0
Sharp,47.0
Stone,48.7
Union,40.7
Van Buren,49.4
Washington,32.7
White,38.5
Woodruff,45.3
Yell,40.3
Alameda,39.3
Alpine,47.1
Amador,49.6
Butte,36.5
Calaveras,51.1
Colusa,36.2
Contra Costa,40.7
Del Norte,41.2
El Dorado,46.2
Fresno,33.3
Glenn,36.4
Humboldt,39.9
Imperial,33.0
Inyo,44.7
Kern,32.5
Kings,32.6
Lake,43.9
Lassen,38.4
Los Angeles,38.2
Madera,34.7
Marin,48.2
Mariposa,51.0
Mendocino,44.2
Merced,31.9
Modoc,50.8
Mono,42.0
Monterey,35.7
Napa,42.9
Nevada,50.3
Orange,39.4
Placer,42.4
Plumas,53.2
Riverside,36.8
Sacramento,37.4
San Benito,36.5
San Bernardino,34.4
San Diego,37.2
San Francisco,40.5
San Joaquin,35.3
San Luis Obispo,40.6
San Mateo,41.3
Santa Barbara,34.5
Santa Clara,38.2
Santa Cruz,39.7
Shasta,41.4
Sierra,53.7
Siskiyou,47.4
Solano,39.1
Sonoma,43.3
Stanislaus,34.8
Sutter,36.8
Tehama,40.3
Trinity,52.0
Tulare,32.0
Tuolumne,47.7
Ventura,39.7
Yolo,31.5
Yuba,33.9
Adams,34.8
Alamosa,32.4
Arapahoe,37.4
Archuleta,51.4
Baca,43.2
Bent,41.8
Boulder,37.7
Broomfield,38.6
Chaffee,47.0
Cheyenne,42.4
Clear Creek,48.2
Conejos,39.6
Costilla,49.8
Crowley,39.1
Custer,57.8
Delta,47.9
Denver,35.1
Dolores,46.6
Douglas,39.6
Eagle,40.4
Elbert,44.7
El Paso,35.1
Fremont,44.2
Garfield,37.7
Gilpin,48.3
Grand,45.2
Gunnison,36.8
Hinsdale,56.6
Huerfano,53.7
Jackson,49.1
Jefferson,40.5
Kiowa,43.8
Kit Carson,40.3
Lake,37.9
La Plata,42.9
Larimer,37.0
Las Animas,46.2
Lincoln,40.0
Logan,39.7
Mesa,41.0
Mineral,52.5
Moffat,38.7
Montezuma,44.5
Montrose,46.0
Morgan,36.0
Otero,40.3
Ouray,54.1
Park,51.1
Phillips,41.6
Pitkin,46.6
Prowers,37.3
Pueblo,39.8
