CTYNAME,YEAR,MEDIAN_AGE_TOT
Autauga County,1,39.2
Autauga County,2,39.1
Autauga County,3,39.2
Autauga County,4,39.2
Baldwin County,1,43.7
Baldwin County,2,43.8
Baldwin County,3,43.9
Baldwin County,4,44.1
Barbour County,1,40.9
Barbour County,2,41.0
Barbour County,3,41.5
Barbour County,4,41.5
Bibb County,1,40.5
Bibb County,2,40.6
Bibb County,3,40.5
Bibb County,4,40.9
Blount County,1,41.1
Blount County,2,41.1
Blount County,3,41.1
Blount County,4,41.2
Bullock County,1,39.6
Bullock County,2,39.7
Bullock County,3,39.7
Bullock County,4,39.8
Butler County,1,41.9
Butler County,2,41.8
Butler County,3,41.9
Butler County,4,42.2
Calhoun County,1,39.4
Calhoun County,2,39.5
Calhoun County,3,39.5
Calhoun County,4,39.3
Chambers County,1,43.1
Chambers County,2,43.1
Chambers County,3,43.2
Chambers County,4,43.3
Cherokee County,1,47.4
Cherokee County,2,47.5
Cherokee County,3,47.7
Cherokee County,4,47.9
Chilton County,1,39.7
Chilton County,2,39.7
Chilton County,3,39.9
Chilton County,4,39.7
Choctaw County,1,46.5
Choctaw County,2,46.5
Choctaw County,3,46.9
Choctaw County,4,47.0
Clarke County,1,42.9
Clarke County,2,43.0
Clarke County,3,42.8
Clarke County,4,42.6
Clay County,1,44.2
Clay County,2,44.3
Clay County,3,44.5
Clay County,4,44.3
Cleburne County,1,42.5
Cleburne County,2,42.5
Cleburne County,3,42.1
Cleburne County,4,41.9
Coffee County,1,39.3
Coffee County,2,39.3
Coffee County,3,39.2
Coffee County,4,39.3
Colbert County,1,42.3
Colbert County,2,42.3
Colbert County,3,42.3
Colbert County,4,42.3
Conecuh County,1,45.5
Conecuh County,2,45.6
Conecuh County,3,46.1
Conecuh County,4,46.2
Coosa County,1,49.5
Coosa County,2,49.8
Coosa County,3,50.1
Coosa County,4,50.6
Covington County,1,43.7
Covington County,2,43.7
Covington County,3,43.3
Covington County,4,43.2
Crenshaw County,1,41.7
Crenshaw County,2,41.6
Crenshaw County,3,41.4
Crenshaw County,4,41.2
Cullman County,1,41.1
Cullman County,2,41.1
Cullman County,3,41.0
Cullman County,4,41.0
Dale County,1,38.2
Dale County,2,38.2
Dale County,3,38.2
Dale County,4,38.0
