,county_full_y,Percent,state_name
0,Autauga County,10.6,Alabama
1,Baldwin County,10.9,Alabama
2,Barbour County,14.4,Alabama
3,Bibb County,13.0,Alabama
4,Blount County,13.3,Alabama
5,Bullock County,12.4,Alabama
6,Butler County,13.5,Alabama
7,Calhoun County,12.9,Alabama
8,Chambers County,13.2,Alabama
9,Cherokee County,12.8,Alabama
10,Chilton County,15.3,Alabama
11,Choctaw County,12.7,Alabama
12,Clarke County,13.7,Alabama
13,Clay County,14.4,Alabama
14,Cleburne County,13.5,Alabama
15,Coffee County,13.7,Alabama
16,Colbert County,10.5,Alabama
17,Conecuh County,11.4,Alabama
18,Coosa County,11.7,Alabama
19,Covington County,12.1,Alabama
20,Crenshaw County,12.9,Alabama
21,Cullman County,14.1,Alabama
22,Dale County,13.8,Alabama
23,Dallas County,11.5,Alabama
24,DeKalb County,19.0,Alabama
25,Elmore County,10.9,Alabama
26,Escambia County,14.4,Alabama
27,Etowah County,13.8,Alabama
28,Fayette County,13.8,Alabama
29,Franklin County,15.9,Alabama
30,Geneva County,15.0,Alabama
31,Greene County,11.6,Alabama
32,Hale County,11.4,Alabama
33,Henry County,12.0,Alabama
34,Houston County,13.6,Alabama
35,Jackson County,12.7,Alabama
36,Jefferson County,10.0,Alabama
37,Lamar County,12.1,Alabama
38,Lauderdale County,11.8,Alabama
39,Lawrence County,15.1,Alabama
40,Lee County,10.5,Alabama
41,Limestone County,12.1,Alabama
42,Lowndes County,11.7,Alabama
43,Macon County,13.2,Alabama
44,Madison County,9.9,Alabama
45,Marengo County,11.1,Alabama
46,Marion County,12.4,Alabama
47,Marshall County,15.2,Alabama
48,Mobile County,12.0,Alabama
49,Monroe County,13.4,Alabama
50,Montgomery County,12.2,Alabama
51,Morgan County,14.7,Alabama
52,Perry County,12.4,Alabama
53,Pickens County,12.5,Alabama
54,Pike County,12.5,Alabama
55,Randolph County,13.0,Alabama
56,Russell County,12.1,Alabama
57,St. Clair County,11.6,Alabama
58,Shelby County,9.3,Alabama
59,Sumter County,12.1,Alabama
60,Talladega County,11.6,Alabama
61,Tallapoosa County,13.6,Alabama
62,Tuscaloosa County,10.3,Alabama
63,Walker County,11.6,Alabama
64,Washington County,14.3,Alabama
65,Wilcox County,12.2,Alabama
66,Winston County,13.6,Alabama
67,Aleutians East Borough,20.8,Alaska
68,Aleutians West Census Area,20.8,Alaska
69,Anchorage Borough,10.9,Alaska
70,Bethel Census Area,19.3,Alaska
71,Bristol Bay Borough,18.1,Alaska
72,Chugach Census Area,14.9,Alaska
73,Copper River Census Area,15.7,Alaska
74,Denali Borough,12.5,Alaska
75,Dillingham Census Area,16.9,Alaska
76,Fairbanks North Star Borough,12.2,Alaska
77,Haines Borough,12.5,Alaska
78,Hoonah-Angoon Census Area,20.0,Alaska
79,Juneau Borough,10.4,Alaska
80,Kenai Peninsula Borough,14.0,Alaska
81,Ketchikan Gateway Borough,14.1,Alaska
82,Kodiak Island Borough,18.8,Alaska
83,Kusilvak Census Area,18.1,Alaska
84,Lake and Peninsula Borough,20.9,Alaska
85,Matanuska-Susitna Borough,13.2,Alaska
86,Nome Census Area,16.7,Alaska
87,North Slope Borough,15.6,Alaska
88,Northwest Arctic Borough,18.2,Alaska
89,Petersburg Borough,15.8,Alaska
90,Prince of Wales-Hyder Census Area,20.7,Alaska
91,Sitka Borough,13.9,Alaska
92,Skagway Municipality,15.0,Alaska
93,Southeast Fairbanks Census Area,17.3,Alaska
94,Wrangell City and Borough,18.7,Alaska
95,Yakutat Borough,22.4,Alaska
96,Yukon-Koyukuk Census Area,21.5,Alaska
97,Apache County,18.6,Arizona
98,Cochise County,12.8,Arizona
99,Coconino County,15.7,Arizona
100,Gila County,13.9,Arizona
101,Graham County,14.4,Arizona
102,Greenlee County,10.7,Arizona
103,La Paz County,19.8,Arizona
104,Maricopa County,13.3,Arizona
105,Mohave County,14.5,Arizona
106,Navajo County,16.4,Arizona
107,Pima County,12.2,Arizona
108,Pinal County,12.9,Arizona
109,Santa Cruz County,19.2,Arizona
110,Yavapai County,13.8,Arizona
111,Yuma County,17.4,Arizona
112,Arkansas County,8.2,Arkansas
113,Ashley County,10.4,Arkansas
114,Baxter County,9.4,Arkansas
115,Benton County,10.0,Arkansas
116,Boone County,10.3,Arkansas
117,Bradley County,12.8,Arkansas
118,Calhoun County,10.3,Arkansas
119,Carroll County,14.4,Arkansas
120,Chicot County,8.3,Arkansas
121,Clark County,9.9,Arkansas
122,Clay County,9.7,Arkansas
123,Cleburne County,8.6,Arkansas
124,Cleveland County,8.6,Arkansas
125,Columbia County,9.8,Arkansas
126,Conway County,8.2,Arkansas
127,Craighead County,9.2,Arkansas
128,Crawford County,12.0,Arkansas
129,Crittenden County,9.0,Arkansas
130,Cross County,9.2,Arkansas
131,Dallas County,10.1,Arkansas
132,Desha County,10.6,Arkansas
133,Drew County,9.1,Arkansas
134,Faulkner County,8.5,Arkansas
135,Franklin County,10.1,Arkansas
136,Fulton County,9.1,Arkansas
137,Garland County,10.2,Arkansas
138,Grant County,7.7,Arkansas
139,Greene County,8.2,Arkansas
140,Hempstead County,11.4,Arkansas
141,Hot Spring County,8.9,Arkansas
142,Howard County,11.2,Arkansas
143,Independence County,9.9,Arkansas
144,Izard County,8.4,Arkansas
145,Jackson County,8.7,Arkansas
146,Jefferson County,7.8,Arkansas
147,Johnson County,12.5,Arkansas
148,Lafayette County,11.7,Arkansas
149,Lawrence County,8.9,Arkansas
150,Lee County,7.9,Arkansas
151,Lincoln County,8.5,Arkansas
152,Little River County,8.6,Arkansas
153,Logan County,8.9,Arkansas
154,Lonoke County,8.0,Arkansas
155,Madison County,11.7,Arkansas
156,Marion County,9.7,Arkansas
157,Miller County,9.2,Arkansas
158,Mississippi County,9.9,Arkansas
159,Monroe County,8.9,Arkansas
160,Montgomery County,13.2,Arkansas
161,Nevada County,8.1,Arkansas
162,Newton County,7.6,Arkansas
163,Ouachita County,8.5,Arkansas
164,Perry County,9.5,Arkansas
165,Phillips County,8.2,Arkansas
166,Pike County,11.8,Arkansas
167,Poinsett County,8.7,Arkansas
168,Polk County,12.8,Arkansas
169,Pope County,10.8,Arkansas
170,Prairie County,9.9,Arkansas
171,Pulaski County,10.1,Arkansas
172,Randolph County,10.4,Arkansas
173,St. Francis County,9.9,Arkansas
174,Saline County,7.4,Arkansas
175,Scott County,10.9,Arkansas
176,Searcy County,9.8,Arkansas
177,Sebastian County,12.8,Arkansas
178,Sevier County,17.2,Arkansas
179,Sharp County,10.3,Arkansas
180,Stone County,11.3,Arkansas
181,Union County,9.4,Arkansas
182,Van Buren County,9.7,Arkansas
183,Washington County,13.1,Arkansas
184,White County,11.2,Arkansas
185,Woodruff County,9.2,Arkansas
186,Yell County,13.5,Arkansas
187,Alameda County,4.9,California
188,Alpine County,11.0,California
189,Amador County,6.4,California
190,Butte County,7.2,California
191,Calaveras County,7.2,California
192,Colusa County,13.0,California
193,Contra Costa County,5.4,California
194,Del Norte County,7.1,California
195,El Dorado County,5.4,California
196,Fresno County,8.8,California
197,Glenn County,12.2,California
198,Humboldt County,7.7,California
199,Imperial County,8.9,California
200,Inyo County,10.2,California
201,Kern County,9.6,California
202,Kings County,8.9,California
203,Lake County,7.7,California
204,Lassen County,4.5,California
205,Los Angeles County,10.2,California
206,Madera County,10.2,California
207,Marin County,4.2,California
208,Mariposa County,8.1,California
209,Mendocino County,11.2,California
210,Merced County,10.5,California
211,Modoc County,8.7,California
212,Mono County,11.0,California
213,Monterey County,11.5,California
214,Napa County,8.6,California
215,Nevada County,6.2,California
216,Orange County,7.5,California
217,Placer County,4.5,California
218,Plumas County,6.2,California
219,Riverside County,9.5,California
220,Sacramento County,6.4,California
221,San Benito County,8.3,California
222,San Bernardino County,8.9,California
223,San Diego County,8.2,California
224,San Francisco County,4.9,California
225,San Joaquin County,7.7,California
226,San Luis Obispo County,6.8,California
227,San Mateo County,4.4,California
228,Santa Barbara County,11.7,California
229,Santa Clara County,5.0,California
230,Santa Cruz County,8.0,California
231,Shasta County,7.0,California
232,Sierra County,7.8,California
233,Siskiyou County,7.6,California
234,Solano County,6.2,California
235,Sonoma County,7.1,California
236,Stanislaus County,7.4,California
237,Sutter County,9.0,California
238,Tehama County,8.1,California
239,Trinity County,7.7,California
240,Tulare County,9.5,California
241,Tuolumne County,6.4,California
242,Ventura County,8.2,California
243,Yolo County,5.9,California
244,Yuba County,8.3,California
245,Adams County,12.5,Colorado
246,Alamosa County,14.7,Colorado
247,Arapahoe County,10.0,Colorado
248,Archuleta County,15.6,Colorado
249,Baca County,11.8,Colorado
250,Bent County,8.6,Colorado
251,Boulder County,7.1,Colorado
252,Broomfield County,5.9,Colorado
253,Chaffee County,12.2,Colorado
254,Cheyenne County,12.8,Colorado
255,Clear Creek County,8.3,Colorado
256,Conejos County,11.7,Colorado
257,Costilla County,14.6,Colorado
258,Crowley County,7.9,Colorado
259,Custer County,11.5,Colorado
260,Delta County,13.2,Colorado
261,Denver County,12.0,Colorado
262,Dolores County,10.7,Colorado
263,Douglas County,4.8,Colorado
264,Eagle County,16.3,Colorado
265,Elbert County,8.9,Colorado
266,El Paso County,8.7,Colorado
267,Fremont County,9.5,Colorado
268,Garfield County,18.8,Colorado
269,Gilpin County,4.9,Colorado
270,Grand County,14.0,Colorado
271,Gunnison County,11.8,Colorado
272,Hinsdale County,16.7,Colorado
273,Huerfano County,7.7,Colorado
274,Jackson County,19.3,Colorado
275,Jefferson County,6.8,Colorado
276,Kiowa County,8.3,Colorado
277,Kit Carson County,16.0,Colorado
278,Lake County,20.8,Colorado
279,La Plata County,12.0,Colorado
280,Larimer County,7.8,Colorado
281,Las Animas County,13.1,Colorado
282,Lincoln County,10.2,Colorado
283,Logan County,12.2,Colorado
284,Mesa County,12.1,Colorado
285,Mineral County,12.8,Colorado
286,Moffat County,13.5,Colorado
287,Montezuma County,15.4,Colorado
288,Montrose County,14.4,Colorado
289,Morgan County,16.3,Colorado
290,Otero County,12.3,Colorado
291,Ouray County,10.7,Colorado
292,Park County,9.2,Colorado
293,Phillips County,16.8,Colorado
294,Pitkin County,9.4,Colorado
295,Prowers County,15.5,Colorado
