,county_ascii_smoking,county_full_smoking,county_fips_smoking,state_id_smoking,state_name,lat,lng,id_smoking,LocationDesc,Data_Value,normalized_smoking,normalized_copd,normalized_covid,normalized_sepsis,normalized_drowning,normalized_vaccination,normalized_flu,normalized_pneumonia,normalized_literacy,normalized_seniors,normalized_incomes,normalized_health_insurance
0,Los Angeles,Los Angeles County,6037,CA,California,34.3209,-118.2247,1,California,10,0.132075472,0.089430894,0.064641206,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.825178124,0.202046036
1,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,2,Illinois,14.5,0.41509434,0.162601626,0.048277549,0.449101796,0.085365854,0.491039427,0.1,0.486772487,0.505681818,0.514851485,0.944783316,0.204603581
2,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,2,Illinois,14.5,0.41509434,0.162601626,0.048277549,0.449101796,0.085365854,0.491039427,0.1,0.486772487,0.505681818,0.514851485,0.828829766,0.204603581
3,Cook,Cook County,17031,IL,Illinois,41.8401,-87.8168,2,Illinois,14.5,0.41509434,0.162601626,0.048277549,0.449101796,0.085365854,0.491039427,0.1,0.486772487,0.505681818,0.514851485,0.870279427,0.204603581
4,Harris,Harris County,48201,TX,Texas,29.8577,-95.3936,3,Texas,14.7,0.427672956,0.18699187,0.044539352,0.502994012,0.182926829,0.301075269,0.3,0.317460317,0.948863636,0.851485149,0.883322065,0.514066496
5,Harris,Harris County,48201,TX,Texas,29.8577,-95.3936,3,Texas,14.7,0.427672956,0.18699187,0.044539352,0.502994012,0.182926829,0.301075269,0.3,0.317460317,0.948863636,0.851485149,0.850802767,0.514066496
6,Maricopa,Maricopa County,4013,AZ,Arizona,33.349,-112.4915,4,Arizona,14.9,0.440251572,0.195121951,0.060011139,0.077844311,0.190243902,0.211469534,0.1,0.285714286,0.676136364,0.326732673,0.870818072,0.281329923
7,San Diego,San Diego County,6073,CA,California,33.0343,-116.735,5,California,10,0.132075472,0.113821138,0.055031706,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.827819342,0.150895141
8,Orange,Orange County,6059,CA,California,33.7031,-117.7609,6,California,10,0.132075472,0.073170732,0.039690963,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.798446474,0.132992327
9,Orange,Orange County,6059,CA,California,33.7031,-117.7609,6,California,10,0.132075472,0.073170732,0.039690963,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.895551164,0.132992327
10,Orange,Orange County,6059,CA,California,33.7031,-117.7609,6,California,10,0.132075472,0.073170732,0.039690963,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.9292852,0.132992327
11,Orange,Orange County,6059,CA,California,33.7031,-117.7609,6,California,10,0.132075472,0.073170732,0.039690963,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.874187389,0.132992327
12,Orange,Orange County,6059,CA,California,33.7031,-117.7609,6,California,10,0.132075472,0.073170732,0.039690963,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.821270162,0.132992327
13,Orange,Orange County,6059,CA,California,33.7031,-117.7609,6,California,10,0.132075472,0.073170732,0.039690963,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.905317355,0.132992327
14,Orange,Orange County,6059,CA,California,33.7031,-117.7609,6,California,10,0.132075472,0.073170732,0.039690963,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.881743278,0.132992327
15,Orange,Orange County,6059,CA,California,33.7031,-117.7609,6,California,10,0.132075472,0.073170732,0.039690963,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.874109378,0.132992327
16,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.615,-80.5623,8,Florida,14.8,0.433962264,0.178861789,0.103524101,0.281437126,0.336585366,0.146953405,0.3,0.174603175,0.693181818,0.04950495,0.865401903,0.391304348
17,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,9,Texas,14.7,0.427672956,0.219512195,0.043753527,0.502994012,0.182926829,0.301075269,0.3,0.317460317,0.948863636,0.851485149,0.935800947,0.516624041
18,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,9,Texas,14.7,0.427672956,0.219512195,0.043753527,0.502994012,0.182926829,0.301075269,0.3,0.317460317,0.948863636,0.851485149,0.922045068,0.516624041
19,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,9,Texas,14.7,0.427672956,0.219512195,0.043753527,0.502994012,0.182926829,0.301075269,0.3,0.317460317,0.948863636,0.851485149,0.818491497,0.516624041
20,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,9,Texas,14.7,0.427672956,0.219512195,0.043753527,0.502994012,0.182926829,0.301075269,0.3,0.317460317,0.948863636,0.851485149,0.944742453,0.516624041
21,Dallas,Dallas County,48113,TX,Texas,32.7666,-96.7778,9,Texas,14.7,0.427672956,0.219512195,0.043753527,0.502994012,0.182926829,0.301075269,0.3,0.317460317,0.948863636,0.851485149,0.834153064,0.516624041
22,Riverside,Riverside County,6065,CA,California,33.7436,-115.9938,10,California,10,0.132075472,0.154471545,0.054982157,0.035928144,0.109756098,0.35483871,0.6,0.37037037,0.960227273,0.653465347,0.902590697,0.184143223
23,King,King County,53033,WA,Washington,47.4902,-121.8052,12,Washington,12.6,0.295597484,0.056910569,0.039539111,0.22754491,0.173170732,0.634408602,0.1,0.132275132,0.261363636,0.554455446,0.772992712,0.089514066
24,King,King County,53033,WA,Washington,47.4902,-121.8052,12,Washington,12.6,0.295597484,0.056910569,0.039539111,0.22754491,0.173170732,0.634408602,0.1,0.132275132,0.261363636,0.554455446,0.709302585,0.089514066
25,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135,13,Nevada,15.7,0.490566038,0.260162602,0.051126881,0.143712575,0.148780488,0.136200717,0.1,0.391534392,0.784090909,0.524752475,0.926350513,0.294117647
26,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135,13,Nevada,15.7,0.490566038,0.260162602,0.051126881,0.143712575,0.148780488,0.136200717,0.1,0.391534392,0.784090909,0.524752475,0.898931626,0.294117647
27,Clark,Clark County,32003,NV,Nevada,36.2152,-115.0135,13,Nevada,15.7,0.490566038,0.260162602,0.051126881,0.143712575,0.148780488,0.136200717,0.1,0.391534392,0.784090909,0.524752475,0.909997994,0.294117647
