Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
1,Retrospective Postoperative ARDS Study at Vanderbilt University,Completed,No Results Available,,ARDS,"11 Years and older   (Child, Adult, Older Adult)",,89,Observational,Observational Model: Case-Control|Time Perspective: Retrospective,8-Aug,"Vanderbilt University Medical Center, Nashville, Tennessee, United States",https://ClinicalTrials.gov/show/NCT00656071,,36.14092375,-86.80163418,"Vanderbilt University Medical Center, Nashville",Vanderbilt University Medical Center,"Christopher G Hughes, M.D.",Davidson,614,0.384689218,2,Tennessee,614,69.00921291
2,The Relationship Between Positive End Expiratory Pressure and Cardiac Index in Patients With Acute Respiratory Distress Syndrome (ARDS) Managed on a Fluid Protocol,Completed,No Results Available,,Cardiac Index,"18 Years and older   (Adult, Older Adult)",,367,Observational,Time Perspective: Retrospective,12-Sep,"Yale University, School of Medicine, Department of Internal Medicine, Section of Pulmonary and Critical Care Medicine, New Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT01714583,,41.25713055,-72.9896696,"Yale University, School of Medicine",Yale University,"Wassim H Fares, MD MSc",South Central Connecticut Planning Region,,,1,Connecticut,,
3,"Associations Between COVID-19 ARDS Treatment, Clinical Trajectories and Liberation From Mechanical Ventilator - an Analysis of the NorthCARDS Dataset",Completed,No Results Available,Other: ARDS and COVID19 treatments,Index Hospital Survival|Time to Mechanical Ventilator Liberation|Hospital Readmission,"Child, Adult, Older Adult",,1800,Observational,Observational Model: Cohort|Time Perspective: Other,19-Jan-21,"Feinstein Institutes for Medical Research, Manhasset, New York, United States",https://ClinicalTrials.gov/show/NCT04729075,,40.7756285,-73.7023206,"Feinstein Institutes for Medical Research, Manhasset",Feinstein Institutes for Medical Research,"Negin Hajizadeh, MD, MPH",Nassau,461,0.313666411,1,New York,461,47.05255711
4,Assessing the Role of Inclined Positioning in Acute Respiratory Distress Syndrome Patients Recovery,Completed,No Results Available,Procedure: upright bed,highest value per day of mechanical ventilation of total respiratory system compliance,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,5,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1-Jan-22,"University of Kentucky, Lexington, Kentucky, United States",https://ClinicalTrials.gov/show/NCT04612608,,38.027038,-84.50483742,"University of Kentucky, Lexington",University of Kentucky,,Fayette,3,0.479679108,2,Kentucky,260,98.37527725
5,Dornase Alfa for ARDS in Patients With Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2),Completed,Has Results,Drug: Dornase Alfa Inhalation Solution,Change in Arterial Blood Oxygen Content to Fraction of Inspired Oxygen Ratio (PaO2/FiO2)|Change in Static Lung Compliance|Duration of Mechanical Ventilation|Length of ICU Stay|Length of Hospitalization|Secondary Bacterial Infections|Mortality,"18 Years and older   (Adult, Older Adult)",Phase 3,30,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,31-Dec-20,"University of Missouri Hospital and Clinics, Columbia, Missouri, United States",https://ClinicalTrials.gov/show/NCT04402970,,38.9385546,-92.3274421,"University of Missouri Hospital and Clinics, Columbia",University of Missouri Hospital and Clinics,"Zachary M Holliday, MD",Boone,0,0.368950589,2,Missouri,110,64.14362573
6,A Prospective Clinical Study to Explore Response to Prone Positioning in ARDS Patients,Completed,No Results Available,Other: Lung Ultrasound (LUS),Oxygenation and Lung Ultrasound Score (LUS)|COVID-19 ARDS vs non-COVID-19 ARDS,"18 Years and older   (Adult, Older Adult)",,60,Observational,Observational Model: Cohort|Time Perspective: Prospective,31-Jan-22,"Rush University Medical Center, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT04692779,,41.87352605,-87.66910151,"Rush University Medical Center, Chicago",Rush University Medical Center,"Tyler Weiss, MS",Cook,0,0.319824519,3,Illinois,1606,48.9563323
7,Treprostinil Sodium Inhalation for Patients At High Risk for ARDS,Terminated,Has Results,Drug: Treprostinil Inhalation Solution|Drug: Placebo,Change in the Ratio of the Partial Pressure of Arterial Oxygen to the Fraction of Inspired Oxygen (PaO2/FiO2 Ratio)|Change in the Ratio of Peripheral Oxygen Saturation to Fraction of Inspired Oxygen (SaO2/FiO2)|Number of Days Not on a Ventilator|Number of Subjects Who Required Bi-level Positive Airway Pressure (BiPAP) or Continuous Positive Airway Pressure (CPAP) Via Face Mask|Acute Respiratory Distress Syndrome (ARDS) Associated Biomarkers|Change in the Central Venous Oxygen Saturation (SCVO2).|Change in Central Venous Pressure (CVP).|Change in Mean Arterial Pressure (MAP).|All-cause Mortality|Number of Subjects Requiring Intubation and Mechanical Ventilation|Number of Deaths During Hospitalization|Peak Plasma Concentration Determined 15 Min After Inhalation and Trough Determined 4 Hours Following the Drug/Placebo Administration|Number of Days From Study Enrollment Until Mechanical Ventilation is Required,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,14,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",7-Nov-17,"University of North Carolina Hospitals, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT02370095,,35.9049367,-79.0506255,"University of North Carolina Hospitals, Chapel Hill",University of North Carolina Hospitals,"Hubert J Ford, MD",Orange,0,0.178217076,0,North Carolina,13,5.178480972
8,Electrical Impedance Tomography (EIT) Monitoring in Adults With ALI or ARDS,Completed,Has Results,Device: Electrical Impedance Tomography monitoring,Feasibility of EIT Monitoring in This Population of ARDS/ALI Patients,"18 Years and older   (Adult, Older Adult)",Not Applicable,13,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,11-Mar,"Christiana Hospital, Newark, Delaware, United States",https://ClinicalTrials.gov/show/NCT01272882,,39.68753175,-75.67103927,"Christiana Hospital, Newark",Christiana Hospital,"John S Emberger, BS",New Castle,119,0.26237067,1,Delaware,119,31.19451126
9,Viral-Related Neutrophil Response and Condition Severity in People With ARDS,Completed,No Results Available,,Primary outcome measure of subject mortality.,"18 Years and older   (Adult, Older Adult)",,132,Observational,Observational Model: Cohort|Time Perspective: Prospective,12-Jul,"University of Colorado Health Sciences Center, Aurora, Colorado, United States",https://ClinicalTrials.gov/show/NCT00548795,,39.74519125,-104.8375871,"University of Colorado Health Sciences Center, Aurora",University of Colorado Health Sciences Center,"Jerry A. Nick, MD",Adams,0,0.223048163,2,Colorado,168,19.03798313
10,The Effect of Intravenous Lipids on Lung Function in Acute Respiratory Distress Syndrome (ARDS),Terminated,Has Results,Drug: ClinOleic 20%|Drug: Intralipid 20%,Bronchoalveolar Lavage Fluid Interleukin-8 Concentrations|Ventilator Days|PaO2:FiO2 Ratio|30 Day Mortality|New Infection|Organ Failures|Biomarkers (C-reactive Protein)|Hospital Length of Stay|Allergic Reactions|Hypertriglyceridemia,"18 Years to 90 Years   (Adult, Older Adult)",Phase 2,14,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",12-Nov,"Methodist Hospital, Indianapolis, Indiana, United States",https://ClinicalTrials.gov/show/NCT01096771,,39.79124045,-86.16317582,"Methodist Hospital, Indianapolis",Methodist Hospital,"Chris Naum, MD",Marion,14,0.370007758,0,Indiana,526,64.47044885
